Año,Mes,Cuit Vendedor,Vendedor,Planta Carga,Tipo Producto,Cuit Comprador,Comprador,Actividad Comprador,Volumen Dentro,Precio Dentro Iva,Precio Dentro Sin Iva,Volumen Fuera,Precio Fuera Iva,Precio Fuera Sin Iva,Volumen Res 844/2007,Precio Res 844/2007 Iva,Precio Res 844/2007 Sin Iva,Fecha Data
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-54302442-9,Las Varillas Gas SACI,Fraccionadora Envases y Granel,182.12,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-55449610-1,Total Especialidades Argentina S.A.,Fraccionadora Envases y Granel,293.84,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-61232352-2,I.P. S.A.,Petroquimica,0.0,0.0,0.0,89.62,2957.0,2676.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PLANTA CONDOR, SANTA CRUZ |Oper:Petrobras Argentina S.A.| ",Butano,30-61232352-2,I.P. S.A.,Petroquimica,0.0,0.0,0.0,91.5,2513.0,2274.6,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-61544169-0,Special Gas S.A.,Fraccionadora Envases y Granel,94.78,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-62273099-1,Di Marco S.A.,Fraccionadora Envases y Granel,420.26,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,481.62,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-65786206-8,Transportadora de Gas del Sur S.A.,Productora,0.0,0.0,0.0,903.56,2957.0,2676.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-66175841-0,Medanito S.A.,Productora,0.0,0.0,0.0,160.2,2957.0,2676.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-68092234-5,Italgas S.A.,Fraccionadora Envases y Granel,1099.52,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-68604547-8,Gas Argentino SRL,Fraccionadora Envases y Granel,24.18,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butano,30-69613988-8,Compañía Mega S.A.,Productora,0.0,0.0,0.0,585.28,2957.0,2676.0,0.0,0,0,2014-01-31
